xy,osite,lohko,koeala,kuvio,koko9,koko564,kunta,maku,vv,mluok,fra,alar,kptylm,ojtil,pt,jaksot,khlk,ppa,kasru,klpm,kpituus,ika,kokru,laatu,bm1,bm2,bm1ma,bm2ma,bm1ku,bm2ku,bm1ko,bm2ko,bm1ml,bm2ml,n_l
410000-6910000,1.0,202942.85714285716,8.25,1.3214285714285714,7.5,7.5,645.5714285714286,13.0,16.5,1.9285714285714288,1.3928571428571428,1.625,0.0,1.0,2.9285714285714284,1.1428571428571428,4.545454545454546,18.666666666666668,983.3333333333334,19.63157894736842,151.61904761904762,64.61904761904762,2425.0,1.9,46.69013125741304,13.300608743534784,20.51873259336522,5.331659608565217,23.268946667126087,7.0664582880913045,2.571299979473913,0.7975172041913043,0.3311520172043478,0.1049736428043478,14.6
410000-6920000,1.0,199862.5,10.625,1.25,7.5,7.5,892.0,13.0,15.1875,2.4375,1.625,1.818181818181818,0.0,1.6,2.9375,1.2,4.090909090909091,14.8,2010.0,15.333333333333334,109.7,44.8,7470.0,1.6,35.8706786809,10.143575233054548,7.430843422736363,1.9811974712545453,15.548684999236364,4.8536829381,9.116785413081818,2.3378425048090907,3.774364845881818,0.9708523188909092,14.0
410000-6930000,1.0,183661.11111111112,7.166666666666667,1.2222222222222223,7.777777777777778,7.777777777777778,892.0,13.0,14.0,2.0,1.4444444444444444,1.2857142857142858,0.0,0.9166666666666666,3.0,1.25,4.357142857142857,20.166666666666668,1550.0,15.666666666666666,132.16666666666666,48.41666666666666,4750.0,1.5833333333333333,40.9214556943,11.325666526692856,23.202941439928573,5.9793512756142855,11.58046410947143,3.3916346749785715,5.270290799278572,1.7296910644142858,0.8677593453571429,0.2249895116142857,15.666666666666666
410000-6940000,1.0,254675.0,8.041666666666666,1.1666666666666667,8.333333333333334,8.333333333333334,729.0,13.0,17.416666666666668,2.0,1.4166666666666667,1.1578947368421053,0.0,0.5263157894736842,2.958333333333333,1.105263157894737,4.578947368421052,22.68421052631579,1850.0,19.05555555555556,157.57894736842104,49.31578947368421,15875.0,1.8421052631578947,72.85072238486316,19.950021488389478,26.406100941873685,6.788758172157895,26.09536668115263,7.412752837052632,18.893095219068424,5.293256912405263,1.4561595429105263,0.4552535667894737,22.38888888888889
410000-6950000,1.0,381383.3333333333,10.6,1.2666666666666666,7.333333333333333,7.333333333333333,729.0,13.0,16.333333333333332,2.6666666666666665,1.6666666666666667,1.4,0.0,0.6,2.933333333333333,1.1,4.444444444444445,19.7,1950.0,19.125,148.7,53.6,5900.0,1.4444444444444444,67.68438831899,18.2238054628,18.4416803317,4.31088227895,40.50556430283,11.461138018540002,7.977277141659999,2.1537343304,0.75986654276,0.29805083503,17.8
410000-6960000,1.0,49571.739130434784,6.043478260869565,1.2173913043478262,7.826086956521739,7.826086956521739,461.3478260869565,13.0,15.956521739130435,1.434782608695652,1.173913043478261,1.3333333333333333,0.631578947368421,0.5789473684210527,2.652173913043478,1.0526315789473684,4.285714285714286,15.421052631578949,1641.6666666666667,15.052631578947368,131.89473684210526,52.63157894736842,3966.6666666666665,1.736842105263158,54.76560075101429,13.9563660877,33.49905542860952,7.886794203328572,13.54077225964762,4.020731354128571,1.967928600895238,0.5671458695285714,5.757844462280953,1.4816946606666666,21.27777777777778
410000-6970000,1.0,245105.5555555556,8.777777777777779,1.1666666666666667,8.222222222222221,8.277777777777779,216.0,13.0,16.0,1.2777777777777777,1.1111111111111112,1.3529411764705883,0.4,1.1333333333333333,3.0,1.2666666666666666,4.823529411764706,22.2,2725.0,19.8,172.46666666666667,74.46666666666667,10950.0,1.4666666666666666,74.40944471035294,20.271243189658826,28.010268559441176,7.132527671982353,34.547318143158826,9.802036201482352,11.403041341358824,3.187820803870588,0.4488166663941176,0.148858512317647,18.142857142857142
410000-6980000,1.0,359819.23076923075,8.538461538461538,1.1538461538461535,8.461538461538462,8.461538461538462,216.0,13.0,15.923076923076923,2.1538461538461537,1.4615384615384617,1.2,0.6,0.0,2.8461538461538463,1.0,4.9,19.2,2350.0,20.5,172.5,74.4,14000.0,1.7,72.50678930032,19.10087055909,55.03547487082,13.91821996964,12.79129611156,3.80535199042,4.44364949104,1.27098716371,0.2363688264399999,0.10631143525,15.0
410000-6990000,1.0,106418.42105263156,7.631578947368421,1.263157894736842,7.894736842105263,7.894736842105263,221.1578947368421,13.0,16.157894736842106,1.6842105263157894,1.3157894736842106,1.0,0.0,0.0666666666666666,3.0,1.1333333333333333,4.5,19.466666666666665,2025.0,17.571428571428573,151.13333333333333,44.13333333333333,11150.0,1.6,64.95295533534374,17.35531811125625,25.723707618718752,6.480220802925,23.7602767780625,6.5046308217125,15.14320056835,4.2853872003625,0.32577037031875,0.08507928623125,19.928571428571427
410000-7000000,1.0,55150.0,6.3,1.2,8.2,8.0,265.0,13.0,15.1,1.0,1.0,1.2,0.0,0.4444444444444444,2.9,1.0,4.1,16.0,2043.75,13.0,115.66666666666669,62.0,10175.0,2.555555555555556,42.60258467456,11.41289961033,24.73013934664,6.38119703444,3.1261646195300004,0.8857896074699999,13.29020409776,3.69219230908,1.4560766106399998,0.4537206594199999,16.5
